2026-05-23 21:40:10,993 | WARNING | No se pudieron obtener datos para TIA: HTTPSConnectionPool(host='demo.okx.com', port=443): Max retries exceeded with url: /api/v5/market/candles?instId=TIA-USDT-SWAP&bar=5m&limit=200 (Caused by NameResolutionError("HTTPSConnection(host='demo.okx.com', port=443): Failed to resolve 'demo.okx.com' ([Errno -5] No address associated with hostname)"))
2026-05-23 21:40:11,007 | WARNING | No se pudieron obtener datos para OP: HTTPSConnectionPool(host='demo.okx.com', port=443): Max retries exceeded with url: /api/v5/market/candles?instId=OP-USDT-SWAP&bar=5m&limit=200 (Caused by NameResolutionError("HTTPSConnection(host='demo.okx.com', port=443): Failed to resolve 'demo.okx.com' ([Errno -5] No address associated with hostname)"))
2026-05-23 21:40:11,011 | WARNING | No se pudieron obtener datos para RUNE: HTTPSConnectionPool(host='demo.okx.com', port=443): Max retries exceeded with url: /api/v5/market/candles?instId=RUNE-USDT-SWAP&bar=5m&limit=200 (Caused by NameResolutionError("HTTPSConnection(host='demo.okx.com', port=443): Failed to resolve 'demo.okx.com' ([Errno -5] No address associated with hostname)"))
2026-05-23 21:40:11,017 | WARNING | No se pudieron obtener datos para APT: HTTPSConnectionPool(host='demo.okx.com', port=443): Max retries exceeded with url: /api/v5/market/candles?instId=APT-USDT-SWAP&bar=5m&limit=200 (Caused by NameResolutionError("HTTPSConnection(host='demo.okx.com', port=443): Failed to resolve 'demo.okx.com' ([Errno -5] No address associated with hostname)"))
2026-05-23 21:40:11,021 | WARNING | No se pudieron obtener datos para ARB: HTTPSConnectionPool(host='demo.okx.com', port=443): Max retries exceeded with url: /api/v5/market/candles?instId=ARB-USDT-SWAP&bar=5m&limit=200 (Caused by NameResolutionError("HTTPSConnection(host='demo.okx.com', port=443): Failed to resolve 'demo.okx.com' ([Errno -5] No address associated with hostname)"))
2026-05-23 21:40:11,026 | WARNING | No se pudieron obtener datos para WIF: HTTPSConnectionPool(host='demo.okx.com', port=443): Max retries exceeded with url: /api/v5/market/candles?instId=WIF-USDT-SWAP&bar=5m&limit=200 (Caused by NameResolutionError("HTTPSConnection(host='demo.okx.com', port=443): Failed to resolve 'demo.okx.com' ([Errno -5] No address associated with hostname)"))
2026-05-23 21:40:11,031 | WARNING | No se pudieron obtener datos para BONK: HTTPSConnectionPool(host='demo.okx.com', port=443): Max retries exceeded with url: /api/v5/market/candles?instId=BONK-USDT-SWAP&bar=5m&limit=200 (Caused by NameResolutionError("HTTPSConnection(host='demo.okx.com', port=443): Failed to resolve 'demo.okx.com' ([Errno -5] No address associated with hostname)"))
2026-05-23 21:40:11,032 | INFO | Posiciones restauradas: []
2026-05-23 21:40:11,032 | INFO | Inicio ciclo 1/8
2026-05-23 21:40:11,032 | ERROR | Error en ciclo: 'RotationalEngine' object has no attribute 'perf_tracker'
2026-05-23 21:52:34,629 | INFO | Estado cargado: loop=3, balance=100.00
